image_name,class_id,angle,background
00-01-V1-B.png,00,V1,B
00-01-V1-W.png,00,V1,W
00-01-V2-B.png,00,V2,B
00-01-V2-W.png,00,V2,W
00-02-V1-B.png,00,V1,B
00-02-V1-W.png,00,V1,W
00-02-V2-B.png,00,V2,B
00-02-V2-W.png,00,V2,W
00-03-V1-B.png,00,V1,B
00-03-V1-W.png,00,V1,W
00-03-V2-B.png,00,V2,B
00-03-V2-W.png,00,V2,W
00-04-V1-B.png,00,V1,B
00-04-V1-W.png,00,V1,W
00-04-V2-B.png,00,V2,B
00-04-V2-W.png,00,V2,W
00-05-V1-B.png,00,V1,B
00-05-V1-W.png,00,V1,W
00-05-V2-B.png,00,V2,B
00-05-V2-W.png,00,V2,W
00-06-V1-B.png,00,V1,B
00-06-V1-W.png,00,V1,W
00-06-V2-B.png,00,V2,B
00-06-V2-W.png,00,V2,W
00-07-V1-B.png,00,V1,B
00-07-V1-W.png,00,V1,W
00-07-V2-B.png,00,V2,B
00-07-V2-W.png,00,V2,W
00-08-V1-B.png,00,V1,B
00-08-V1-W.png,00,V1,W
00-08-V2-B.png,00,V2,B
00-08-V2-W.png,00,V2,W
00-09-V1-B.png,00,V1,B
00-09-V1-W.png,00,V1,W
00-09-V2-B.png,00,V2,B
00-09-V2-W.png,00,V2,W
00-10-V1-B.png,00,V1,B
00-10-V1-W.png,00,V1,W
00-10-V2-B.png,00,V2,B
00-10-V2-W.png,00,V2,W
01-01-V1-B.png,01,V1,B
01-01-V1-W.png,01,V1,W
01-01-V2-B.png,01,V2,B
01-01-V2-W.png,01,V2,W
01-02-V1-B.png,01,V1,B
01-02-V1-W.png,01,V1,W
01-02-V2-B.png,01,V2,B
01-02-V2-W.png,01,V2,W
01-03-V1-B.png,01,V1,B
01-03-V1-W.png,01,V1,W
01-03-V2-B.png,01,V2,B
01-03-V2-W.png,01,V2,W
01-04-V1-B.png,01,V1,B
01-04-V1-W.png,01,V1,W
01-04-V2-B.png,01,V2,B
01-04-V2-W.png,01,V2,W
01-05-V1-B.png,01,V1,B
01-05-V1-W.png,01,V1,W
01-05-V2-B.png,01,V2,B
01-05-V2-W.png,01,V2,W
01-06-V1-B.png,01,V1,B
01-06-V1-W.png,01,V1,W
01-06-V2-B.png,01,V2,B
01-06-V2-W.png,01,V2,W
01-07-V1-B.png,01,V1,B
01-07-V1-W.png,01,V1,W
01-07-V2-B.png,01,V2,B
01-07-V2-W.png,01,V2,W
01-08-V1-B.png,01,V1,B
01-08-V1-W.png,01,V1,W
01-08-V2-B.png,01,V2,B
01-08-V2-W.png,01,V2,W
01-09-V1-B.png,01,V1,B
01-09-V1-W.png,01,V1,W
01-09-V2-B.png,01,V2,B
01-09-V2-W.png,01,V2,W
01-10-V1-B.png,01,V1,B
01-10-V1-W.png,01,V1,W
01-10-V2-B.png,01,V2,B
01-10-V2-W.png,01,V2,W
02-01-V1-B.png,02,V1,B
02-01-V1-W.png,02,V1,W
02-01-V2-B.png,02,V2,B
02-01-V2-W.png,02,V2,W
02-02-V1-B.png,02,V1,B
02-02-V1-W.png,02,V1,W
02-02-V2-B.png,02,V2,B
02-02-V2-W.png,02,V2,W
02-03-V1-B.png,02,V1,B
02-03-V1-W.png,02,V1,W
02-03-V2-B.png,02,V2,B
02-03-V2-W.png,02,V2,W
02-04-V1-B.png,02,V1,B
02-04-V1-W.png,02,V1,W
02-04-V2-B.png,02,V2,B
02-04-V2-W.png,02,V2,W
02-05-V1-B.png,02,V1,B
02-05-V1-W.png,02,V1,W
02-05-V2-B.png,02,V2,B
02-05-V2-W.png,02,V2,W
02-06-V1-B.png,02,V1,B
02-06-V1-W.png,02,V1,W
02-06-V2-B.png,02,V2,B
02-06-V2-W.png,02,V2,W
02-07-V1-B.png,02,V1,B
02-07-V1-W.png,02,V1,W
02-07-V2-B.png,02,V2,B
02-07-V2-W.png,02,V2,W
02-08-V1-B.png,02,V1,B
02-08-V1-W.png,02,V1,W
02-08-V2-B.png,02,V2,B
02-08-V2-W.png,02,V2,W
02-09-V1-B.png,02,V1,B
02-09-V1-W.png,02,V1,W
02-09-V2-B.png,02,V2,B
02-09-V2-W.png,02,V2,W
02-10-V1-B.png,02,V1,B
02-10-V1-W.png,02,V1,W
02-10-V2-B.png,02,V2,B
02-10-V2-W.png,02,V2,W
03-01-V1-B.png,03,V1,B
03-01-V1-W.png,03,V1,W
03-01-V2-B.png,03,V2,B
03-01-V2-W.png,03,V2,W
03-02-V1-B.png,03,V1,B
03-02-V1-W.png,03,V1,W
03-02-V2-B.png,03,V2,B
03-02-V2-W.png,03,V2,W
03-03-V1-B.png,03,V1,B
03-03-V1-W.png,03,V1,W
03-03-V2-B.png,03,V2,B
03-03-V2-W.png,03,V2,W
03-04-V1-B.png,03,V1,B
03-04-V1-W.png,03,V1,W
03-04-V2-B.png,03,V2,B
03-04-V2-W.png,03,V2,W
